mukey,muname,comppct_r,compname,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,claytotal_r,sandtotal_r,silttotal_r,cec7_r,awc_r,field_id
64319,Holcomb silt loam,3,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_013
64319,Holcomb silt loam,3,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_013
64319,Holcomb silt loam,3,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_013
64319,Holcomb silt loam,3,Concord,Poorly drained,51,102,1.25,6.7,42.5,7.7,49.8,30,0.16,WV_AG_013
64319,Holcomb silt loam,3,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_013
64319,Holcomb silt loam,3,Concord,Poorly drained,102,183,0.25,6.7,25,24,51,20,0.2,WV_AG_013
64377,Bashaw silty clay,85,Bashaw,Poorly drained,0,10,6,6.5,55,2.5,42.5,47.5,0.18,WV_AG_013
64377,Bashaw silty clay,85,Bashaw,Poorly drained,10,152,2.25,6.5,62.5,11.4,26.1,47.5,0.15,WV_AG_013
64377,Bashaw silty clay,85,Bashaw,Poorly drained,152,178,0.25,6.7,60,0,40,42.5,0.15,WV_AG_013
64377,Bashaw silty clay,5,Awbrig,Poorly drained,0,28,3.5,5.8,28.5,19.3,52.2,25,0.2,WV_AG_013
64377,Bashaw silty clay,5,Awbrig,Poorly drained,28,79,1.5,6.3,55,17.1,27.9,40,0.04,WV_AG_013
64377,Bashaw silty clay,5,Awbrig,Poorly drained,79,152,0.5,7,33.5,18.7,47.8,25,0.19,WV_AG_013
64377,Bashaw silty clay,3,Conser,Poorly drained,0,43,6,6.1,31,20,49,25,0.2,WV_AG_013
64377,Bashaw silty clay,3,Conser,Poorly drained,43,162,2.25,6.1,47.5,5.5,47,27.5,0.15,WV_AG_013
64377,Bashaw silty clay,2,Courtney,Poorly drained,0,43,3.5,5.6,31,20,49,27.5,0.18,WV_AG_013
64377,Bashaw silty clay,2,Courtney,Poorly drained,43,84,1.25,6.1,55,17.1,27.9,40,0.13,WV_AG_013
64377,Bashaw silty clay,2,Courtney,Poorly drained,84,122,0.6,6.1,31,35.4,33.6,22.5,0.1,WV_AG_013
64377,Bashaw silty clay,2,Courtney,Poorly drained,122,152,0.35,6.5,2.5,96,1.5,2.5,0.04,WV_AG_013
64377,Bashaw silty clay,1,Dayton,Poorly drained,0,23,2.5,5.6,17.5,29.1,53.4,15,0.22,WV_AG_013
64377,Bashaw silty clay,1,Dayton,Poorly drained,23,38,0.75,5.6,22.5,24.8,52.7,15,0.21,WV_AG_013
64377,Bashaw silty clay,1,Dayton,Poorly drained,38,102,0.75,5.8,45,7.2,47.8,32.5,0.04,WV_AG_013
64377,Bashaw silty clay,1,Dayton,Poorly drained,102,193,0.25,6.7,22.5,24.8,52.7,15,0.18,WV_AG_013
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,0,15,4.3,5.6,21,5,74,20,0.22,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,15,33,3.3,5.6,21,5,74,20,0.21,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,33,61,1.5,5.6,22,5,73,17,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,61,84,0.6,5.8,23,4.5,72.5,18,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,84,114,0.27,5.8,33,4.5,62.5,28,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,114,135,0.23,5.8,33,5,62,28,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",97,Willamette,Well drained,135,152,0.1,5.9,28,10,62,27,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,0,23,3.5,5.1,21,5,74,19,0.21,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,23,30,1.4,5.1,21,5,74,17,0.21,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,30,38,1,5.4,21,5,74,16,0.2,WV_AG_014
85408,"Willamette silt loam, 3 to 12 percent slopes",1,Dayton,Poorly drained,38,56,0.6,5.2,45,3,52,37,0.16,WV_AG_014
